,conv1,conv1_1,conv2,conv2_1,conv3,conv3_1,conv3_2,conv4,conv4_1,conv4_2,conv5,conv5_1,conv5_2,fc6,fc7,fc8a
23,-0.9581413321123557,-0.9392036090976903,-0.8874081518377659,-0.8034512799174944,-0.7001679109563723,-0.6810801002626125,-0.6753077885807781,-0.6004091490046655,-0.6182964891536835,-0.609918281229918,-0.4490776312201753,-0.48356894883198887,-0.49581251556494443,-0.450198081293529,-0.36963750349466945,-0.3313014571154755
24,-0.9653528349182963,-0.9448007671185155,-0.9404033568193497,-0.8968822151287615,-0.8015551063656775,-0.7522976351733703,-0.7227790284955312,-0.6049530621494124,-0.6141910815032579,-0.6409630266783912,-0.49861175284817155,-0.5004385102113622,-0.4624488023197999,-0.5204816754370939,-0.45871347140487995,-0.527779610057545
25,-0.9761683996026217,-0.9555348722917648,-0.9287305065587801,-0.8902121784940379,-0.818586281926187,-0.7862359946604588,-0.7648656850572391,-0.7345508324277554,-0.6817144702592274,-0.6605594705095141,-0.6749635397162728,-0.6417294565219177,-0.5872867579579985,-0.5579497745382191,-0.4109746525641386,-0.11357961943016072
26,-0.9795452573307576,-0.9603828439008484,-0.9205420195515537,-0.8475682397466178,-0.7285520288450335,-0.6983115123212091,-0.6798111410053842,-0.591783253074539,-0.5974744867875952,-0.5954750220168541,-0.513350978562113,-0.49279284119696676,-0.3831791810412566,-0.3741393642135057,-0.345168493691844,-0.22920090720316783
27,-0.9423656577402532,-0.9340262204399372,-0.9424600767478496,-0.9490853551682024,-0.9162437296602848,-0.8827243177147681,-0.8517295783639378,-0.8294607793991703,-0.7667347952441683,-0.7386269958216616,-0.7358475928575461,-0.7076947479806338,-0.6186907227810267,-0.5501761746368721,-0.4600278341154379,-0.5227342349429103
28,-0.9327230619361866,-0.904240263865071,-0.9115791355139609,-0.9229394617382795,-0.8806921449302834,-0.8402929743396802,-0.8264361137760221,-0.8270047165700135,-0.7657609994111998,-0.7557649569371849,-0.7942441992849906,-0.7510032280070185,-0.7224852252049443,-0.6003072672258172,-0.40839423221968363,-0.3528686162156572
29,-0.9505373056895237,-0.9288626443154293,-0.8836407639497628,-0.8317549223236129,-0.7253165052745643,-0.6907548936337365,-0.6928718317067081,-0.631210126637584,-0.614671468591756,-0.6080139288323011,-0.5114877969468654,-0.4911580837944554,-0.48654299088255276,-0.45288201928801397,-0.25233526334007017,-0.2825930415470778
30,-0.9562186154154636,-0.9400910731071563,-0.9377271935693376,-0.9292604186491396,-0.8781111916502508,-0.8396151487249723,-0.8055150052759041,-0.7820694401705879,-0.7233031638590744,-0.6715183193570502,-0.6904124583677848,-0.6561986093963601,-0.5229466261743854,-0.44072883358817777,-0.42916477745557763,-0.6012229791564658
31,-0.9174585511965878,-0.9162976006387776,-0.9171031011744056,-0.9254804246156462,-0.8702889470104636,-0.8102825302679318,-0.7900674717691469,-0.6940013748844449,-0.6007209062010592,-0.5825798102272955,-0.5724106423850572,-0.5303100721733729,-0.5128060490620472,-0.4324867664634039,-0.22471515693053,-0.31429703096575606
32,-0.9460215925454056,-0.9339929206494122,-0.9185262442705131,-0.8990929724126173,-0.8338113139840293,-0.793461597611468,-0.7747301086459953,-0.7296167234843545,-0.6825953529620545,-0.685209255019811,-0.6774662811354553,-0.6730627050922898,-0.6796168545836473,-0.5239088110538362,-0.6708723444366611,-0.8625120050626023
33,-0.9729847325888917,-0.9598674202723916,-0.9348949856544628,-0.8777337407102447,-0.788031124785527,-0.772731193634477,-0.7603080489612911,-0.7020660012803743,-0.6883996355920987,-0.670332624156959,-0.5558586522268163,-0.566668264821789,-0.44545178319832945,-0.3903486734579228,-0.24034030890220084,-0.08652451689143273
